1,s,gesv,general,full,Doxygen/docs/html/sgesv_8f.html,driver simple; solve A*X = B only,1
2,d,gesv,general,full,Doxygen/docs/html/dgesv_8f.html,driver simple; solve A*X = B only,2
3,c,gesv,general,full,Doxygen/docs/html/cgesv_8f.html,driver simple; solve A*X = B only,3
4,z,gesv,general,full,Doxygen/docs/html/zgesv_8f.html,driver simple; solve A*X = B only,4
5,s,gbsv,general,band,Doxygen/docs/html/sgbsv_8f.html,driver simple; solve A*X = B only,5
6,d,gbsv,general,band,Doxygen/docs/html/dgbsv_8f.html,driver simple; solve A*X = B only,6
7,c,gbsv,general,band,Doxygen/docs/html/cgbsv_8f.html,driver simple; solve A*X = B only,7
8,z,gbsv,general,band,Doxygen/docs/html/zgbsv_8f.html,driver simple; solve A*X = B only,8
9,s,gtsv,general,tridiagonal,Doxygen/docs/html/sgtsv_8f.html,driver simple; solve A*X = B only,9
10,d,gtsv,general,tridiagonal,Doxygen/docs/html/dgtsv_8f.html,driver simple; solve A*X = B only,10
11,c,gtsv,general,tridiagonal,Doxygen/docs/html/cgtsv_8f.html,driver simple; solve A*X = B only,11
12,z,gtsv,general,tridiagonal,Doxygen/docs/html/zgtsv_8f.html,driver simple; solve A*X = B only,12
13,c,hesv,Hermitian,full,Doxygen/docs/html/chesv_8f.html,driver simple; solve A*X = B only,13
14,z,hesv,Hermitian,full,Doxygen/docs/html/zhesv_8f.html,driver simple; solve A*X = B only,14
15,c,hpsv,Hermitian,packed,Doxygen/docs/html/chpsv_8f.html,driver simple; solve A*X = B only,15
16,z,hpsv,Hermitian,packed,Doxygen/docs/html/zhpsv_8f.html,driver simple; solve A*X = B only,16
17,s,posv,SPD,full,Doxygen/docs/html/sposv_8f.html,driver simple; solve A*X = B only,17
18,d,posv,SPD,full,Doxygen/docs/html/dposv_8f.html,driver simple; solve A*X = B only,18
19,c,posv,HPD,full,Doxygen/docs/html/cposv_8f.html,driver simple; solve A*X = B only,19
20,z,posv,HPD,full,Doxygen/docs/html/zposv_8f.html,driver simple; solve A*X = B only,20
21,s,pbsv,SPD,band,Doxygen/docs/html/spbsv_8f.html,driver simple; solve A*X = B only,21
22,d,pbsv,SPD,band,Doxygen/docs/html/dpbsv_8f.html,driver simple; solve A*X = B only,22
23,c,pbsv,HPD,band,Doxygen/docs/html/cpbsv_8f.html,driver simple; solve A*X = B only,23
24,z,pbsv,HPD,band,Doxygen/docs/html/zpbsv_8f.html,driver simple; solve A*X = B only,24
25,s,ppsv,SPD,packed,Doxygen/docs/html/sppsv_8f.html,driver simple; solve A*X = B only,25
26,d,ppsv,SPD,packed,Doxygen/docs/html/dppsv_8f.html,driver simple; solve A*X = B only,26
27,c,ppsv,HPD,packed,Doxygen/docs/html/cppsv_8f.html,driver simple; solve A*X = B only,27
28,z,ppsv,HPD,packed,Doxygen/docs/html/zppsv_8f.html,driver simple; solve A*X = B only,28
29,s,ptsv,SPD,tridiagonal,Doxygen/docs/html/sptsv_8f.html,driver simple; solve A*X = B only,29
30,d,ptsv,SPD,tridiagonal,Doxygen/docs/html/dptsv_8f.html,driver simple; solve A*X = B only,30
31,c,ptsv,HPD,tridiagonal,Doxygen/docs/html/cptsv_8f.html,driver simple; solve A*X = B only,31
32,z,ptsv,HPD,tridiagonal,Doxygen/docs/html/zptsv_8f.html,driver simple; solve A*X = B only,32
33,s,sysv,symmetric,full,Doxygen/docs/html/ssysv_8f.html,driver simple; solve A*X = B only,33
34,d,sysv,symmetric,full,Doxygen/docs/html/dsysv_8f.html,driver simple; solve A*X = B only,34
35,c,sysv,symmetric,full,Doxygen/docs/html/csysv_8f.html,driver simple; solve A*X = B only,35
36,z,sysv,symmetric,full,Doxygen/docs/html/zsysv_8f.html,driver simple; solve A*X = B only,36
37,s,spsv,symmetric,packed,Doxygen/docs/html/sspsv_8f.html,driver simple; solve A*X = B only,37
38,d,spsv,symmetric,packed,Doxygen/docs/html/dspsv_8f.html,driver simple; solve A*X = B only,38
39,c,spsv,symmetric,packed,Doxygen/docs/html/cspsv_8f.html,driver simple; solve A*X = B only,39
40,z,spsv,symmetric,packed,Doxygen/docs/html/zspsv_8f.html,driver simple; solve A*X = B only,40
41,d,sgesv,general,full,Doxygen/docs/html/dsgesv_8f.html,driver simple; solve A*X = B only; refinement,329
42,z,cgesv,general,full,Doxygen/docs/html/zcgesv_8f.html,driver simple; solve A*X = B only; refinement,330
43,d,sposv,SPD,full,Doxygen/docs/html/dsposv_8f.html,driver simple; solve A*X = B only; refinement,331
44,z,cposv,HPD,full,Doxygen/docs/html/zcposv_8f.html,driver simple; solve A*X = B only; refinement,332
