1	s	gesv	general	full	http://www.netlib.org/lapack/single/sgesv.f	simple driver, solve A*X = B only	1
2	d	gesv	general	full	http://www.netlib.org/lapack/double/dgesv.f	simple driver, solve A*X = B only	2
3	c	gesv	general	full	http://www.netlib.org/lapack/complex/cgesv.f	simple driver, solve A*X = B only	3
4	z	gesv	general	full	http://www.netlib.org/lapack/complex16/zgesv.f	simple driver, solve A*X = B only	4
5	s	gbsv	general	band	http://www.netlib.org/lapack/single/sgbsv.f	simple driver, solve A*X = B only	5
6	d	gbsv	general	band	http://www.netlib.org/lapack/double/dgbsv.f	simple driver, solve A*X = B only	6
7	c	gbsv	general	band	http://www.netlib.org/lapack/complex/cgbsv.f	simple driver, solve A*X = B only	7
8	z	gbsv	general	band	http://www.netlib.org/lapack/complex16/zgbsv.f	simple driver, solve A*X = B only	8
9	s	gtsv	general	tridiagonal	http://www.netlib.org/lapack/single/sgtsv.f	simple driver, solve A*X = B only	9
10	d	gtsv	general	tridiagonal	http://www.netlib.org/lapack/double/dgtsv.f	simple driver, solve A*X = B only	10
11	c	gtsv	general	tridiagonal	http://www.netlib.org/lapack/complex/cgtsv.f	simple driver, solve A*X = B only	11
12	z	gtsv	general	tridiagonal	http://www.netlib.org/lapack/complex16/zgtsv.f	simple driver, solve A*X = B only	12
13	c	hesv	Hermitian	full	http://www.netlib.org/lapack/complex/chesv.f	simple driver, solve A*X = B only	13
14	z	hesv	Hermitian	full	http://www.netlib.org/lapack/complex16/zhesv.f	simple driver, solve A*X = B only	14
15	c	hpsv	Hermitian	packed	http://www.netlib.org/lapack/complex/chpsv.f	simple driver, solve A*X = B only	15
16	z	hpsv	Hermitian	packed	http://www.netlib.org/lapack/complex16/zhpsv.f	simple driver, solve A*X = B only	16
17	s	posv	SPD	full	http://www.netlib.org/lapack/single/sposv.f	simple driver, solve A*X = B only	17
18	d	posv	SPD	full	http://www.netlib.org/lapack/double/dposv.f	simple driver, solve A*X = B only	18
19	c	posv	HPD	full	http://www.netlib.org/lapack/complex/cposv.f	simple driver, solve A*X = B only	19
20	z	posv	HPD	full	http://www.netlib.org/lapack/complex16/zposv.f	simple driver, solve A*X = B only	20
21	s	pbsv	SPD	band	http://www.netlib.org/lapack/single/spbsv.f	simple driver, solve A*X = B only	21
22	d	pbsv	SPD	band	http://www.netlib.org/lapack/double/dpbsv.f	simple driver, solve A*X = B only	22
23	c	pbsv	HPD	band	http://www.netlib.org/lapack/complex/cpbsv.f	simple driver, solve A*X = B only	23
24	z	pbsv	HPD	band	http://www.netlib.org/lapack/complex16/zpbsv.f	simple driver, solve A*X = B only	24
25	s	ppsv	SPD	packed	http://www.netlib.org/lapack/single/sppsv.f	simple driver, solve A*X = B only	25
26	d	ppsv	SPD	packed	http://www.netlib.org/lapack/double/dppsv.f	simple driver, solve A*X = B only	26
27	c	ppsv	HPD	packed	http://www.netlib.org/lapack/complex/cppsv.f	simple driver, solve A*X = B only	27
28	z	ppsv	HPD	packed	http://www.netlib.org/lapack/complex16/zppsv.f	simple driver, solve A*X = B only	28
29	s	ptsv	SPD	tridiagonal	http://www.netlib.org/lapack/single/sptsv.f	simple driver, solve A*X = B only	29
30	d	ptsv	SPD	tridiagonal	http://www.netlib.org/lapack/double/dptsv.f	simple driver, solve A*X = B only	30
31	c	ptsv	HPD	tridiagonal	http://www.netlib.org/lapack/complex/cptsv.f	simple driver, solve A*X = B only	31
32	z	ptsv	HPD	tridiagonal	http://www.netlib.org/lapack/complex16/zptsv.f	simple driver, solve A*X = B only	32
33	s	sysv	symmetric	full	http://www.netlib.org/lapack/single/ssysv.f	simple driver, solve A*X = B only	33
34	d	sysv	symmetric	full	http://www.netlib.org/lapack/double/dsysv.f	simple driver, solve A*X = B only	34
35	c	sysv	symmetric	full	http://www.netlib.org/lapack/complex/csysv.f	simple driver, solve A*X = B only	35
36	z	sysv	symmetric	full	http://www.netlib.org/lapack/complex16/zsysv.f	simple driver, solve A*X = B only	36
37	s	spsv	symmetric	packed	http://www.netlib.org/lapack/single/sspsv.f	simple driver, solve A*X = B only	37
38	d	spsv	symmetric	packed	http://www.netlib.org/lapack/double/dspsv.f	simple driver, solve A*X = B only	38
39	c	spsv	symmetric	packed	http://www.netlib.org/lapack/complex/cspsv.f	simple driver, solve A*X = B only	39
40	z	spsv	symmetric	packed	http://www.netlib.org/lapack/complex16/zspsv.f	simple driver, solve A*X = B only	40
41	s	gesvx	general	full	http://www.netlib.org/lapack/single/sgesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	41
42	d	gesvx	general	full	http://www.netlib.org/lapack/double/dgesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	42
43	c	gesvx	general	full	http://www.netlib.org/lapack/complex/cgesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	43
44	z	gesvx	general	full	http://www.netlib.org/lapack/complex16/zgesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	44
45	s	gbsvx	general	band	http://www.netlib.org/lapack/single/sgbsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	45
46	d	gbsvx	general	band	http://www.netlib.org/lapack/double/dgbsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	46
47	c	gbsvx	general	band	http://www.netlib.org/lapack/complex/cgbsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	47
48	z	gbsvx	general	band	http://www.netlib.org/lapack/complex16/zgbsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Equilibrate, Transpose	48
49	s	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/single/sgtsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	49
50	d	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/double/dgtsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	50
51	c	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/complex/cgtsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	51
52	z	gtsvx	general	tridiagonal	http://www.netlib.org/lapack/complex16/zgtsvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor, Transpose	52
53	c	hesvx	Hermitian	full	http://www.netlib.org/lapack/complex/chesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor	53
54	z	hesvx	Hermitian	full	http://www.netlib.org/lapack/complex16/zhesvx.f	expert driver, A*X = B, Condition Number, Error Bounds, Refine, Factor	54
